station_name,trains,mta_api_station
Bay Pky,D-N-F,Bay Pkwy
Bay Ridge Av,R,Bay Ridge Av
Bay Ridge-95 St,R,Bay Ridge-95 St
Baychester Av,5,Baychester Av
Beach 105 St,A-S,Beach 105 St
Beach 25 St,A,Beach 25 St
Beach 36 St,A,Beach 36 St
Beach 44 St,A,Beach 44 St
Beach 60 St,A,Beach 60 St
Beach 67 St,A,Beach 67 St
Beach 90 St,A-S,Beach 90 St
Beach 98 St,A-S,Beach 98 St
Bedford Av,L,Bedford Av
Bedford Park Blvd,B-D,Bedford Park Blvd
Bedford Park Blvd-Lehman College,4,Bedford Park Blvd-Lehman College
Bedford-Nostrand Avs,G,Bedford-Nostrand Avs
Bergen St,2-3-4-F-G,Bergen St
Beverly Rd,Q-2-5,Beverly Rd
Bleecker St,4-6-6X,Bleecker St
Borough Hall,4-5-2-3,Borough Hall
Botanic Garden,S,Botanic Garden
Bowery,J-Z,Bowery
Bowling Green,4-5,Bowling Green
Briarwood-Van Wyck Blvd,E-F,Briarwood
Brighton Beach,B-Q,Brighton Beach
Broad Channel,A-S,Broad Channel
Broad St,J-Z,Broad St
Broadway,G-N-W,Broadway
Broadway Junction,L-A-C-J-Z,Broadway Junction
Broadway-Lafayette St,B-D-F-M,Broadway-Lafayette St
Bronx Park East,2-5,Bronx Park East
Brook Av,6,Brook Av
Brooklyn Bridge-City Hall,4-5-6-6X,Brooklyn Bridge-City Hall
Brooklyn College-Flatbush Av,2-5,Flatbush Av-Brooklyn College
Buhre Av,6-6X,Buhre Av
Burke Av,2-5,Burke Av
Burnside Av,4,Burnside Av
Bushwick-Aberdeen,L,Bushwick Av-Aberdeen St
Canal St,J-Z-R-W-1-2-N-Q-4-6-6X-A-C-E,Canal St
Canal St-Holland Tunnel,A-C-E,^^^
Canarsie-Rockaway Pkwy,L,Canarsie-Rockaway Pkwy
Carroll St,F-G,Carroll St
Castle Hill Av,6-6X,Castle Hill Av
Cathedral Pkwy (110 St),A-B-C-1,Cathedral Pkwy (110 St)
Central Av,M,Central Av
Central Park North (110 St),2-3,Central Park North (110 St)
Chambers St,A-C-J-Z-1-2-3,Chambers St
Chauncey St,J-Z,Chauncey St
Christopher St-Sheridan Sq,1-2,Christopher St-Sheridan Sq
Church Av,F-G-B-Q-2-5,Church Av
City Hall,R-W,City Hall
Clark St,2-3,Clark St
Classon Av,G,Classon Av
Cleveland St,J,Cleveland St
Clinton-Washington Avs,A-C-G,Clinton-Washington Avs
Coney Island-Stillwell Av,D-F-N-Q,Coney Island-Stillwell Av
Cortelyou Rd,Q,Cortelyou Rd
Cortlandt St,R-W-1,Cortlandt St
Court Sq,7-7X-G,Court Sq
Court Sq-23 St,E-M,Court Sq-23 St
Court St,N-R,Court St
Crescent St,J-Z,Crescent St
Crown Hts-Utica Av,3-4,Crown Hts-Utica Av
Cypress Av,6,Cypress Av
Cypress Hills,J,Cypress Hills
DeKalb Av,B-D-N-Q-R-L,DeKalb Av
Delancey St-Essex St,J-M-Z-F,Delancey St-Essex St
Ditmas Av,F,Ditmas Av
Dyckman St,1-A,Dyckman St
E 105 St,L,East 105 St
E 143 St-St Mary's St,6,E 143 St-St Mary's St
E 149 St,6,E 149 St
E 180 St,2-5,E 180 St
East Broadway,F,East Broadway
Eastchester-Dyre Av,5,Eastchester-Dyre Av
Eastern Pkwy-Bklyn Museum,2-3-4,Eastern Pkwy-Brooklyn Museum
Elder Av,6,Elder Av
Elmhurst Av,E-M-R,Elmhurst Av
Euclid Av,A-C-S,Euclid Av
Far Rockaway-Mott Av,A,Far Rockaway-Mott Av
Flushing Av,G-J-M,Flushing Av
Flushing-Main St,7-7X,Flushing-Main St
Fordham Rd,B-D-4,Fordham Rd
Forest Av,M,Forest Av
Forest Hills-71 Av,E-F-M-R,Forest Hills-71 Av
Franklin Av,A-C-2-3-4-5,Franklin Av
Franklin Av-Fulton St,S,Franklin Av-Medgar Evers College
Franklin St,1-2,Franklin St
Freeman St,2-5,Freeman St
Fresh Pond Rd,M,Fresh Pond Rd
Ft Hamilton Pkwy,N-F-G-D,Fort Hamilton Pkwy
Fulton St,4-5-G-J-Z-A-C-2-3,Fulton St
Gates Av,J-Z,Gates Av
Graham Av,L,Graham Av
Grand Army Plaza,2-3-4,Grand Army Plaza
Grand Av-Newtown,E-M-R,Grand Av-Newtown
Grand Central-42 St,7-7X-S-4-5-6-6X,Grand Central-42 St
Grand St,L-B-D,Grand St
Grant Av,A-S,Grant Av
Gravesend-86 St,N,^^^
Greenpoint Av,G,Greenpoint Av
Gun Hill Rd,2-5-5,Gun Hill Rd
Halsey St,J-L,Halsey St
Harlem-148 St,3,Harlem-148 St
Herald Sq-34 St,N-Q-R-W-B-D-F-M,34 St-Herald Sq
Hewes St,J-M,Hewes St
High St,A-C,High St
Houston St,1-2,Houston St
Howard Beach-JFK Airport,A,Howard Beach-JFK Airport
Hoyt St,2-3,Hoyt St
Hoyt-Schermerhorn Sts,A-C-G,Hoyt-Schermerhorn Sts
Hunters Point Av,7-7X,Hunters Point Av
Hunts Point Av,6-6X,Hunts Point Av
Intervale Av,2-5,Intervale Av
Inwood-207 St,A,Inwood-207 St
Jackson Av,2-5,Jackson Av
Jackson Hts-Roosevelt Av,E-F-M-R,Jackson Hts-Roosevelt Av
Jamaica Ctr-Parsons / Archer,E-J-Z,Jamaica Center-Parsons/Archer
Jamaica-179 St,F,Jamaica-179 St
Jamaica-Van Wyck,E,Jamaica-Van Wyck
Jay St-MetroTech,A-C-F-N-R,Jay St-MetroTech
Jefferson St,L,Jefferson St
Junction Blvd,7-7X,Junction Blvd
Junius St,3-4,Junius St
Kew Gardens-Union Tpke,E-F,Kew Gardens-Union Tpke
Kings Hwy,B-Q-N-F,Kings Hwy
Kingsbridge Rd,B-D-4,Kingsbridge Rd
Kingston Av,3-4,Kingston Av
Kingston-Throop Avs,A-C,Kingston-Throop Avs
Knickerbocker Av,M,Knickerbocker Av
Kosciuszko St,J,Kosciuszko St
Lafayette Av,A-C,Lafayette Av
Lexington Av-53 St,E-M,Lexington Av/53 St
Lexington Av-59 St,N-R-W-4-5-6-6X,Lexington Av/59 St
Lexington Av-63 St,F-Q,Lexington Av/63 St
Liberty Av,A-C,Liberty Av
Livonia Av,L,Livonia Av
Long Island City-Court Sq,G,^^^
Longwood Av,6,Longwood Av
Lorimer St,J-M-L,Lorimer St
Lower East Side-2 Av,F,2 Av
Marble Hill-225 St,1,Marble Hill-225 St
Marcy Av,J-M-Z,Marcy Av
Metropolitan Av,G,Metropolitan Av
Mets-Willets Point,7-7X,Mets-Willets Point
Middle Village-Metropolitan Av,M,Middle Village-Metropolitan Av
Middletown Rd,6-6X,Middletown Rd
Montrose Av,L,Montrose Av
Morgan Av,L,Morgan Av
Morris Park,5,Morris Park
Morrison Av-Soundview,6,Morrison Av-Soundview
Mosholu Pkwy,4,Mosholu Pkwy
Mt Eden Av,4,Mt Eden Av
Myrtle Av,J-M-Z,Myrtle Av
Myrtle-Willoughby Avs,G,Myrtle-Willoughby Avs
Myrtle-Wyckoff Avs,M-L,Myrtle-Wyckoff Avs
Nassau Av,G,Nassau Av
Neck Rd,Q,Neck Rd
Neptune Av,F,Neptune Av
Nereid Av (238 St),2-5,Nereid Av
Nevins St,2-3-4-5,Nevins St
New Lots Av,L-3-4,New Lots Av
New Utrecht Av,N,New Utrecht Av
Newkirk Av,B-Q-2-5,Newkirk Av-Little Haiti
Northern Blvd,E-M-R,Northern Blvd
Norwood Av,J-Z,Norwood Av
Norwood-205 St,D,Norwood-205 St
Nostrand Av,3-4-A-C,Nostrand Av
Ocean Pkwy,Q,Ocean Pkwy
Ozone Park-Lefferts Blvd,A-S,Ozone Park-Lefferts Blvd
Park Pl,2-3-S,Park Pl
Parkchester,6-6X,Parkchester
Parkside Av,Q,Parkside Av
Parsons Blvd,F,Parsons Blvd
Pelham Bay Park,6-6X,Pelham Bay Park
Pelham Pkwy,5-2-5,Pelham Pkwy
Pennsylvania Av,3-4,Pennsylvania Av
President St,2-5,President St-Medgar Evers College
Prince St,N-Q-R-W,Prince St
Prospect Av,D-N-R-2-5,Prospect Av
Prospect Park,B-Q-S,Prospect Park
Queens Plz,E-M-R,Queens Plaza
Queensboro Plz,7-7X-N-W,Queensboro Plaza
Ralph Av,A-C,Ralph Av
Rector St,1-R-W,Rector St
Rockaway Av,3-4-A-C,Rockaway Av
Rockaway Blvd,A-S,Rockaway Blvd
Rockaway Park-Beach 116 St,A-S,Rockaway Park-Beach 116 St
Roosevelt Island-Main St,F,Roosevelt Island
Saratoga Av,3-4,Saratoga Av
Seneca Av,M,Seneca Av
Sheepshead Bay,B-Q,Sheepshead Bay
Shepherd Av,A-C,Shepherd Av
Simpson St,2-5,Simpson St
Smith-9 Sts,F-G,Smith-9 Sts
South Ferry,1,South Ferry
Spring St,A-C-E-4-6-6X,Spring St
St Lawrence Av,6,St Lawrence Av
Steinway St,E-M-R,Steinway St
Sterling St,2-5,Sterling St
Sutphin Blvd,F,Sutphin Blvd
Sutphin Blvd-Archer Av,E-J-Z,Sutphin Blvd-Archer Av-JFK Airport
Sutter Av,L,Sutter Av
Sutter Av-Rutland Road,3-4,Sutter Av-Rutland Rd
Times Sq-42 St,1-2-3-N-Q-R-W-7-7X-S,Times Sq-42 St
Tremont Av,B-D,Tremont Av
Union Sq-14 St,N-Q-R-W-L-4-5-6-6X,14 St-Union Sq
Union St,D-N-R,Union St
Utica Av,A-C,Utica Av
Van Cortlandt Park-242 St,1,Van Cortlandt Park-242 St
Van Siclen Av,A-C-J-Z-3-4,Van Siclen Av
Vernon Blvd-Jackson Av,7-7X,Vernon Blvd-Jackson Av
W 4 St-Washington Sq (Lower),B-D-F-M,W 4 St-Wash Sq
W 4 St-Washington Sq (Upper),A-C-E,W 4 St-Wash Sq
W 8 St-NY Aquarium,F-Q,W 8 St-NY Aquarium
Wakefield-241 St,2,Wakefield-241 St
Wall St,4-5-2-3,Wall St
West Farms Sq-E Tremont Av,2-5,West Farms Sq-E Tremont Av
Westchester Sq-E Tremont Av,6-6X,Westchester Sq-E Tremont Av
Whitehall St,R-W,Whitehall St-South Ferry
Whitlock Av,6,Whitlock Av
Wilson Av,L,Wilson Av
Winthrop St,2-5,Winthrop St
Woodhaven Blvd,J-Z,Woodhaven Blvd
Woodhaven Blvd-Queens Mall,E-M-R,Woodhaven Blvd
Woodlawn,4,Woodlawn
Woodside-61 St,7-7X,61 St-Woodside
World Trade Center,E,World Trade Center
York St,F,York St
Zerega Av,6-6X,Zerega Av
